node_id,node_type,bipartite,label,coverage_status,author_channel_id,author_name,author_handle,comments_total,distinct_videos,distinct_channels,likes_total,replies_total,video_id,title,channel_id,channel_name,category,source_group,view_count,comments_observed,unique_authors
video::TnZGNY1RsJE,video,1,Festival navideño 2025 @MunicipalidaddeGuatemala-1551,sin_comentarios_recolectados,,,,,,,,,TnZGNY1RsJE,Festival navideño 2025 @MunicipalidaddeGuatemala-1551,UCuc8l25EFE17DV8dD64d2AQ,HeX4EveR,People & Blogs,topic,148.0,0.0,0.0
video::UDFS8gl80h8,video,1,#AprendeConCONRED qué es el Sistema CONRED y quienes lo conforman.,sin_comentarios_recolectados,,,,,,,,,UDFS8gl80h8,#AprendeConCONRED qué es el Sistema CONRED y quienes lo conforman.,UC6SA1dVHvAkc6yNS_t5cbGw,Conred,Education,official_gov,521.0,0.0,0.0
video::UTf26hS1UJ8,video,1,🚦💙 PROVIAL: Proteger y Servir,sin_comentarios_recolectados,,,,,,,,,UTf26hS1UJ8,🚦💙 PROVIAL: Proteger y Servir,UCuKuUrmHoNaJJHE27Aac9PQ,PROVIAL-CIV,Education,official_gov,38.0,0.0,0.0
video::UcvHq8j-J38,video,1,"Ministerio de Comunicaciones, Infraestructura y Vivienda y los Consejos de Desarrollo",sin_comentarios_recolectados,,,,,,,,,UcvHq8j-J38,"Ministerio de Comunicaciones, Infraestructura y Vivienda y los Consejos de Desarrollo",UCJJ071vIw7Bu8lJmXfiVrKw,Ministerio de Finanzas Públicas Guatemala,News & Politics,official_gov,222.0,0.0,0.0
video::UhL9y3KUl8E,video,1,SHAI WA: la vecina queer de Casa Presidencial,con_comentarios_recolectados,,,,,,,,,UhL9y3KUl8E,SHAI WA: la vecina queer de Casa Presidencial,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,channel,1755.0,1.0,1.0
video::UzeOcBM9cuU,video,1,Conred Podcast Episodio 04: Amenaza sísmica y volcánica en Guatemala,sin_comentarios_recolectados,,,,,,,,,UzeOcBM9cuU,Conred Podcast Episodio 04: Amenaza sísmica y volcánica en Guatemala,UC6SA1dVHvAkc6yNS_t5cbGw,Conred,Education,official_gov,127.0,0.0,0.0
video::VfBrLONPnFM,video,1,ME quité el MIEDO de viajar en los buses de GUATEMALA 🔥,sin_comentarios_recolectados,,,,,,,,,VfBrLONPnFM,ME quité el MIEDO de viajar en los buses de GUATEMALA 🔥,UCDfEVbDrimcKw5lfbps915g,De todo Gt,People & Blogs,topic,329489.0,0.0,0.0
video::VgcpKa1h_2Q,video,1,CONQUISTA LA CIUDAD / 21K BAM de la Municipalidad de Guatemala,sin_comentarios_recolectados,,,,,,,,,VgcpKa1h_2Q,CONQUISTA LA CIUDAD / 21K BAM de la Municipalidad de Guatemala,UC_nkMVSKgO9PeEaZ3LbPodg,21KMuniGuate,Sports,topic,3110.0,0.0,0.0
video::VuIl4tjeKGQ,video,1,La ciudad sigue modernizándose para ti y tu familia.,sin_comentarios_recolectados,,,,,,,,,VuIl4tjeKGQ,La ciudad sigue modernizándose para ti y tu familia.,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,News & Politics,official_gov,39168.0,0.0,0.0
video::W415t12o3DA,video,1,Mujer con crisis nerviosa tras intento de asalto,sin_comentarios_recolectados,,,,,,,,,W415t12o3DA,Mujer con crisis nerviosa tras intento de asalto,UCt5Dw7ePnn0AqPqRF8Xpjkw,TN23 Guatemala,News & Politics,topic,4737.0,0.0,0.0
