node_id,tipo_nodo,etiqueta,comunidad,componente,grado,fuerza,grado_bipartito,intermediacion,cercania,pagerank,vector_propio,channel_name,category,view_count,comentarios_recibidos,sent_medio
author::UCXXh7yg5KUFIWylTiKVEFKQ,autor,@MrDuenderojo,1,1,1,2,0.0526,0.0,0.2219,0.00219,0.08853,,,,,-0.753
author::UCLggDc_a5HriXv7I1h02sOA,autor,@guillermogonzalez5153,1,1,1,2,0.0526,0.0,0.2219,0.00219,0.08853,,,,,-0.398
author::UCNBnKqWf4d-rS4HwJRQljmQ,autor,@LE_A22,1,1,1,2,0.0526,0.0,0.2219,0.00219,0.08853,,,,,-0.934
author::UCrJn_rbo_ENAdeqneS-RmRw,autor,@josecarrera9623,1,1,1,2,0.0526,0.0,0.2219,0.00219,0.08853,,,,,-0.949
author::UCkd9W714-947dEE6ZOEBATA,autor,@ARGELIATELON,1,1,1,2,0.0526,0.0,0.2219,0.00219,0.08853,,,,,-0.933
author::UCi1b_TRQfgO1Z9O2gNGGWNA,autor,@davidisraelesquitsaquil,1,1,1,2,0.0526,0.0,0.2219,0.00219,0.08853,,,,,-0.791
author::UCQ_-LPP8JAbfkc-b1Q6NvWw,autor,@MegaKristenstewart,1,1,1,2,0.0526,0.0,0.2219,0.00219,0.08853,,,,,-0.956
author::UCQtICyzWmhC5woCtbNgaSmg,autor,@nestormendez6216,1,1,1,2,0.0526,0.0,0.2219,0.00219,0.08853,,,,,-0.642
author::UCOLGv5Pf6BF2wFcwUzgcvHg,autor,@welfrealdana5559,1,1,1,2,0.0526,0.0,0.2219,0.00219,0.08853,,,,,-0.862
author::UCyor0Mmm0ivLX2jIdyGp84Q,autor,@MiguelJordan-n3g,13,6,1,1,0.0526,0.0,0.0038,0.00219,0.0,,,,,-0.955
author::UC-QOpE7GOxlXcHZ8b7HbQKA,autor,@mariaalexander427,6,3,1,2,0.0526,0.0,0.0264,0.00213,0.0,,,,,-0.742
author::UCBlm80VQ4YoV3bUJR_XhkaQ,autor,@rosadiaz6945,6,3,1,2,0.0526,0.0,0.0264,0.00213,0.0,,,,,-0.343
