source,target,weight,relation
author::UCHu8x4MVkayU6VgwVKd--MQ,video::b_Hkrkl3adA,1,comento_en
author::UCIUhbSCy3-SGRe5UtqM4fzQ,video::lj983NWyAQY,1,comento_en
author::UCIXLDYqR_syskKRJy_x9W9Q,video::06mFNPU0aB8,1,comento_en
author::UCIgoiXdIKJyUGmUoH2Lxdzg,video::OkXlHx0hx-8,1,comento_en
author::UCIp19h9igblA2YKfSLPDAug,video::lj983NWyAQY,1,comento_en
author::UCJp3OrVYcBorC94sKwdch_A,video::ndAZjHqzzT8,1,comento_en
author::UCJxJC56BSAX-ArD0NAb9qnQ,video::3Nfp9h5avBI,1,comento_en
author::UCKDR0f2fu2UzWL8mBv5-BHw,video::n8iP75gIpmw,1,comento_en
author::UCKVzDUqbtdSMBcexaEtMmzQ,video::TT4qJ5FXHYE,1,comento_en
author::UCL13XhnRzbGokEkCkEOb0-g,video::n8iP75gIpmw,2,comento_en
author::UCL1MT278vSaQ83ZDkVWn1gw,video::n8iP75gIpmw,1,comento_en
author::UCLFdHr9BEbXHkoJopbEPLZw,video::n8iP75gIpmw,2,comento_en
author::UCLXYp1Cvc5DLtq5UQL5D9vw,video::06mFNPU0aB8,1,comento_en
author::UCLggDc_a5HriXv7I1h02sOA,video::n8iP75gIpmw,2,comento_en
author::UCLh1Kde4_vI1sTZBkTNP7RQ,video::is3Mk5oC19g,1,comento_en
author::UCN2N_wYOw6fMwCeSzdXLPIw,video::PjmxCj-a9Hg,1,comento_en
author::UCN6qbfPSzFtjhqUDZ3Cv3CQ,video::n8iP75gIpmw,1,comento_en
author::UCNBnKqWf4d-rS4HwJRQljmQ,video::n8iP75gIpmw,2,comento_en
author::UCNIeXbV_mEwpa412h1aqUWw,video::PjmxCj-a9Hg,3,comento_en
author::UCNiMNUJvaRJb0_QLClqwVnA,video::TT4qJ5FXHYE,1,comento_en
author::UCNkcuy42zEwddwEcOd_HpnA,video::n8iP75gIpmw,1,comento_en
author::UCNpt5CQlTzNjlAKY6CJtClQ,video::j43HgwYFKfk,1,comento_en
author::UCO0zwwLWGyDgQmWPJ5Qrr1w,video::06mFNPU0aB8,1,comento_en
author::UCOARn3hnfkB7-_Rwa8Hoqcw,video::WIUZtitfLRw,1,comento_en
author::UCOLGv5Pf6BF2wFcwUzgcvHg,video::n8iP75gIpmw,2,comento_en
author::UCOLHH4ZpMxPYF-Q6e6wvn5A,video::OkXlHx0hx-8,1,comento_en
author::UCOS8ViEkccrTZx2w2ccxotA,video::n8iP75gIpmw,1,comento_en
author::UCOY3XpD9qMCRSA8AA8c4CAw,video::yLZS3JiEBg8,1,comento_en
author::UCOcUI5XkTYNMSFhZNMIPpGg,video::j43HgwYFKfk,1,comento_en
author::UCOh6DaZC_x9HASnlRylEMfw,video::n8iP75gIpmw,1,comento_en
author::UCPLW0HE3siElqCgXfgWxMqg,video::X_FAIef8qlE,1,comento_en
author::UCPNXmbOBVeC4HS-xemvcPtQ,video::OkXlHx0hx-8,1,comento_en
author::UCPZueDLrCS4BmTBRMA4q0fA,video::PjmxCj-a9Hg,1,comento_en
author::UCQIdKuZ-OzuFqy0KjGrgesg,video::JkpVO1hx2f8,1,comento_en
author::UCQM2tCKRRytVDRxNUfCDqQQ,video::zweosulrwA8,1,comento_en
author::UCQMMuADgqWUOcJpLwHOzC-g,video::OkXlHx0hx-8,1,comento_en
author::UCQ_-LPP8JAbfkc-b1Q6NvWw,video::n8iP75gIpmw,2,comento_en
author::UCQgYjVngJRfPHDLGB5X6ZjA,video::n8iP75gIpmw,1,comento_en
author::UCQqetiwzzmRNTM5OWuXarGQ,video::n8iP75gIpmw,1,comento_en
author::UCQqlPPUGqAfWjd-FSh_qn7Q,video::j43HgwYFKfk,1,comento_en
author::UCQtICyzWmhC5woCtbNgaSmg,video::n8iP75gIpmw,2,comento_en
author::UCQtSFINs1h6GHkpg9o5kMvg,video::n8iP75gIpmw,1,comento_en
author::UCQyOePccUP-fIJYzchAgZYw,video::j43HgwYFKfk,1,comento_en
author::UCRAquv8el-tQ30bN7MlmySQ,video::j43HgwYFKfk,1,comento_en
author::UCRETAiYdh2dL5ZxB0_N1zDA,video::n8iP75gIpmw,1,comento_en
author::UCRcSR3Lvn9DZAmJpVPANfZQ,video::lj983NWyAQY,1,comento_en
author::UCRelkU8JiZBytTzebJxaa-w,video::n8iP75gIpmw,1,comento_en
author::UCRfkkatKrNtAARnXMMYBGlA,video::6W4u8sGEnGM,1,comento_en
author::UCRlCV9zSn7avAWh-9_XFWqQ,video::n8iP75gIpmw,1,comento_en
author::UCRvPToDkkumha7WJAfCDk1A,video::j43HgwYFKfk,1,comento_en
