origen,destino,peso,likes,respuestas,sent_medio,tipo_arista,author_channel_id,author_handle,video_id,title,channel_name
author::UC95PSMouTx2N5CbSq0hIyrQ,video::j43HgwYFKfk,1,0,0,-0.214,comento_en,UC95PSMouTx2N5CbSq0hIyrQ,@lisss1908,j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum
author::UC9Wp6vL5oCU37qC3Aj94WZA,video::b_Hkrkl3adA,1,0,0,-0.949,comento_en,UC9Wp6vL5oCU37qC3Aj94WZA,@ManuelSanchez-b8q2z,b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial
author::UC9vMq1YF-e7C-VO0SHkbUTA,video::n8iP75gIpmw,4,0,0,-0.85,comento_en,UC9vMq1YF-e7C-VO0SHkbUTA,@ErvinLeonardoCarreraLatín,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UC9xr9QvIcDvoZNUX5f-jaZw,video::n8iP75gIpmw,1,0,0,-0.556,comento_en,UC9xr9QvIcDvoZNUX5f-jaZw,@MariaaliciaColonmorales,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UCA93ym2TXs_Ibyxb4Vcn-6Q,video::n8iP75gIpmw,1,0,0,-0.939,comento_en,UCA93ym2TXs_Ibyxb4Vcn-6Q,@oswaldosolis8728,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UCAKuKvcbfnBD3kF5njNu-IA,video::j43HgwYFKfk,1,0,0,0.899,comento_en,UCAKuKvcbfnBD3kF5njNu-IA,@melvinlopez7096,j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum
author::UCAV7QIjYhbDJaycQycM_0eQ,video::PjmxCj-a9Hg,1,3,0,-0.348,comento_en,UCAV7QIjYhbDJaycQycM_0eQ,@mariavail8998,PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala
author::UCAlzM_N6xBlMYmM8EBzX86Q,video::n8iP75gIpmw,1,3,0,-0.928,comento_en,UCAlzM_N6xBlMYmM8EBzX86Q,@carlossoto3252,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UCAmtbUiIrUIhikru0ZoTFig,video::n8iP75gIpmw,1,7,0,-0.874,comento_en,UCAmtbUiIrUIhikru0ZoTFig,@Aura-vf6dm,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UCAxvOOHQk7dYPOajzFEVtbA,video::06mFNPU0aB8,2,0,0,-0.116,comento_en,UCAxvOOHQk7dYPOajzFEVtbA,@ruddydepaz322,06mFNPU0aB8,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7
author::UCB5p8a5gklc80jJItP6xTHg,video::n8iP75gIpmw,1,6,0,-0.75,comento_en,UCB5p8a5gklc80jJItP6xTHg,@ernestogamboa8737,n8iP75gIpmw,Qué rico come tu diputado,Quorum
