author_channel_id,author_handle,comentarios,videos,canales,likes,respuestas
UCTylKrsqkrBKIqubMu_5N0Q,@edwingeovanymarroquinmarro6684,1,1,1,1,0
UCUIIIPTVDVHAXqhC_5V6lPA,@gorrarota,1,1,1,0,0
UCUoYsrx1oZnCZ0usbBJn4fA,@AnaDiaz-re9sq,1,1,1,1,0
UCV0iizTBoOfdAFX_thfI9BA,@BenjaminLarios-jd8nk,1,1,1,0,0
UCV0lM03g5fg5pbPj97-sAtA,@genarodelgado3929,1,1,1,1,0
UCVQf0tzL7xRzFJsABVVULpg,@DennisseLopetegi,1,1,1,0,0
UCVdjCrh4tQoX3haNAZv-n5A,@aurahernandez5646,1,1,1,3,1
UCVhif9eV0f8plICen2DnpKA,@blogarteplus,1,1,1,0,0
UCW-JC6lebVmf2P1dmY_L94g,@dinoraoroxon5771,1,1,1,0,0
UCW80DaMjQlEUibC98Cot-Dg,@rogeraldana4289,1,1,1,0,0
UCWIZUtKJ636y-4TYrNvok0g,@cesarandreas7824,1,1,1,5,0
UCWWkebAekppaL5b5CNlppuw,@ninettmartinez425,1,1,1,3,0
UCWoAVGVqCn4xtINCMOTM4jg,@OmarMartinez-vv8re,1,1,1,0,0
UCWvntqPQx99k_Z_skWKqNSA,@AntonioChiyal-x5s,1,1,1,2,1
UCXN2s7DwTJm33xO-pNkAdaA,@edithsan7688,1,1,1,0,0
UCXO1BBohNWXkK9SBDAG2ySg,@JBFlute92,1,1,1,0,0
UCXSkL3ejZ8qWYyF_M7s_QKA,@JacintaTzoy,1,1,1,0,0
UCXVLc8CmAO813ubM-fLvCDw,@herminiasaquimux7565,1,1,1,7,0
UCXgr7vXlRrsaskPdo097kGA,@Rogergh-nw4oj,1,1,1,0,0
UCXl30Y_upRqbti52fmjK4YA,@capitanfrans,1,1,1,0,0
UCXmrpc6Li0spcKxtS0Q_ptg,@melvinperez6710,1,1,1,10,0
UCXr8_5WtGeipe4haOoQDgyQ,@amyherrera7352,1,1,1,0,0
UCY7Hq7F9Lnucf-Yr6JkHZNw,@maynorcalel1442,1,1,1,79,0
UCYN4wSQ1Sx4_LurxLlW7MPg,@belarminavillatoro6474,1,1,1,0,0
UCYwpX26TrCxq8TvbKGRYLXA,@beneficioelcaminovillacana8540,1,1,1,3,0
UCZ51R_9Q9C0c8I3pAWhtmjQ,@belvettzapeta1251,1,1,1,8,0
UCZFQwqh90apuL8eFhvRBkUg,@luisricardo9671,1,1,1,9,0
UCZIQnb1fkwe39Iw2TAu-bGA,@jorgegomez2237,1,1,1,1,0
UCZLG9qH0tUjNhEGFIUt0CYw,@SoniaMarroquin-y6e,1,1,1,1,0
UCZOmq6MwFDVoCaEl99BRRaw,@daniloarevalo3170,1,1,1,0,0
UCZeIIQrGAedW8tCbKWmGY-A,@mariocordon8873,1,1,1,9,0
UCZjm6U576nX8WOiLhmMR3bw,@MariaNavarroYT,1,1,1,3,1
UC_3xuTXvMIWU5MYP9HkJ3vQ,@Historia-wm4os,1,1,1,4,0
UC_6KbBY1bsYXz9fwFS0eQRg,@imrcp5694,1,1,1,0,0
UC_LYoGs5C3mbZKZuKuqYCvw,@javiercifuentesarchila6041,1,1,1,7,0
UC_NRVt2UP88ZNTwzrZ66JSg,@aditalissethevasquezrojas8039,1,1,1,2,0
UC_ljZ1hZXR9pzexFz87P5ZA,@ChRiStOpHeR7969,1,1,1,0,0
UCa36MjQLoPAmgJo-R3G8WQA,@elsasalguero6914,1,1,1,3,0
